capital_change,event_type,talent_value
-2.5,unlucky,0.8266312320241544
-5.0,unlucky,0.5977738146335146
-0.5,unlucky,0.5519685497180618
-2.5,unlucky,0.5909577296435249
-2.5,unlucky,0.3862652791750607
-5.0,unlucky,0.760334960225036
-2.5,unlucky,0.5655451092972921
-0.5,unlucky,0.6953709537466723
-1.0,unlucky,0.6644145576379148
-5.0,unlucky,0.5085735257047825
-0.5,unlucky,0.3899434058060488
0.0,lucky,0.3899434058060488
2.0,lucky,0.4575391636881444
40.0,lucky,0.8520268037038545
0.0,lucky,0.5709463105258009
-10.0,unlucky,0.7744770652611116
-10.0,unlucky,0.65923668037005
-1.0,unlucky,0.6184866140404213
-2.0,unlucky,0.5748660847836345
-5.0,unlucky,0.5565605394941247
-40.0,unlucky,0.6501588807062013
-2.5,unlucky,0.5763618701439255
2.0,lucky,0.5655451092972921
10.0,lucky,0.6541098895495927
40.0,lucky,0.6501588807062013
-5.0,unlucky,0.6023450665177799
0.0,unlucky,0.6162757738961784
-2.5,unlucky,0.5595559313108717
1.0,lucky,0.6184866140404213
5.0,lucky,0.6616358516700255
-2.0,unlucky,0.639385719036854
-5.0,unlucky,0.42266083273996763
-5.0,unlucky,0.65923668037005
-1.0,unlucky,0.4991061458518361
0.0,unlucky,0.6162757738961784
10.0,lucky,0.6616358516700255
10.0,lucky,0.6585440837695061
1.0,lucky,0.5673631684127454
-0.5,unlucky,0.6539973385908122
-0.5,unlucky,0.6046211343336884
-1.0,unlucky,0.5547437488322823
-2.5,unlucky,0.5096516406866523
0.0,unlucky,0.6025213556044619
-2.5,unlucky,0.57906497864431
0.0,lucky,0.6539973385908122
0.0,lucky,0.6046211343336884
10.0,lucky,0.5034522547131055
80.0,lucky,0.6501588807062013
10.0,lucky,0.5114738156629044
2.0,lucky,0.639385719036854
5.0,lucky,0.42266083273996763
4.0,lucky,0.6625901990488554
0.0,unlucky,0.6025213556044619
-10.0,unlucky,0.5150295229802144
-10.0,unlucky,0.6411188642683668
-1.0,unlucky,0.41654803051586975
0.0,unlucky,0.6953709537466723
-1.0,unlucky,0.5490988993577467
-20.0,unlucky,0.7324134215793292
-1.0,unlucky,0.5096516406866523
-10.0,unlucky,0.6259991324517621
-10.0,unlucky,0.6210129517207666
5.0,lucky,0.5759336239622259
2.0,lucky,0.5433855133965997
4.0,lucky,0.4575391636881444
10.0,lucky,0.6242718002251384
-0.5,unlucky,0.41654803051586975
-20.0,unlucky,0.4074270607544652
160.0,lucky,0.6501588807062013
5.0,lucky,0.6023450665177799
10.0,lucky,0.6411188642683668
8.0,lucky,0.631412877224479
10.0,lucky,0.5759336239622259
2.0,lucky,0.7257039242348693
0.0,unlucky,0.3899434058060488
-10.0,unlucky,0.5704302008265013
-5.0,unlucky,0.6259991324517621
-0.5,unlucky,0.5490988993577467
0.0,unlucky,0.41654803051586975
2.0,lucky,0.7102825816851016
20.0,lucky,0.6616358516700255
5.0,lucky,0.46890952113691325
0.0,lucky,0.5802321183050977
20.0,lucky,0.5034522547131055
2.0,lucky,0.5763618701439255
4.0,lucky,0.639385719036854
10.0,lucky,0.42266083273996763
-2.0,unlucky,0.5763618701439255
-0.5,unlucky,0.5547437488322823
-1.0,unlucky,0.5824646917264583
-10.0,unlucky,0.6411188642683668
-4.0,unlucky,0.639385719036854
-10.0,unlucky,0.42266083273996763
-2.0,unlucky,0.6374105807688341
-1.0,unlucky,0.5833673627233299
0.0,unlucky,0.6025213556044619
-1.0,unlucky,0.57906497864431
5.0,lucky,0.5085735257047825
0.0,lucky,0.6046211343336884
5.0,lucky,0.6466857879738467
10.0,lucky,0.47423400918219566
2.0,lucky,0.5763618701439255
-5.0,unlucky,0.6466857879738467
-10.0,unlucky,0.47423400918219566
-2.0,unlucky,0.639385719036854
-5.0,unlucky,0.42266083273996763
-10.0,unlucky,0.6713836767779474
0.0,unlucky,0.6953709537466723
1.0,lucky,0.5833673627233299
2.0,lucky,0.5263139882962876
10.0,lucky,0.5729261225476586
-1.0,unlucky,0.5475070904299238
-0.5,unlucky,0.6644145576379148
-2.0,unlucky,0.5763618701439255
0.0,unlucky,0.5802321183050977
-0.5,unlucky,0.7471314137033332
-0.5,unlucky,0.7929188047595209
2.0,lucky,0.5673631684127454
20.0,lucky,0.6242718002251384
20.0,lucky,0.479814275084664
80.0,lucky,0.8520268037038545
20.0,lucky,0.5508093538413341
2.0,lucky,0.5763618701439255
2.0,lucky,0.5606892418584912
-1.0,unlucky,0.5833673627233299
-0.5,unlucky,0.4991061458518361
0.0,unlucky,0.6162757738961784
-2.5,unlucky,0.5977738146335146
-2.0,unlucky,0.5673631684127454
5.0,lucky,0.7034428049266636
2.0,lucky,0.5977738146335146
1.0,lucky,0.5475070904299238
-1.0,unlucky,0.5475070904299238
-5.0,unlucky,0.7744770652611116
-5.0,unlucky,0.6722740085342693
-10.0,unlucky,0.5729261225476586
-5.0,unlucky,0.6587613328904643
-1.0,unlucky,0.5673631684127454
0.0,unlucky,0.7471314137033332
0.0,unlucky,0.7929188047595209
0.0,lucky,0.6644145576379148
5.0,lucky,0.7744770652611116
0.0,lucky,0.5519685497180618
2.0,lucky,0.6374105807688341
0.0,lucky,0.5547437488322823
-2.5,unlucky,0.6259991324517621
-20.0,unlucky,0.5508093538413341
1.0,lucky,0.57906497864431
1.0,lucky,0.5673631684127454
0.0,lucky,0.7471314137033332
0.0,lucky,0.7929188047595209
0.0,lucky,0.41654803051586975
0.0,unlucky,0.41654803051586975
-5.0,unlucky,0.4695942273268628
-5.0,unlucky,0.5085735257047825
-5.0,unlucky,0.5729261225476586
5.0,lucky,0.6360776895730251
2.0,lucky,0.6299193671496478
20.0,lucky,0.4627655309956722
160.0,lucky,0.8520268037038545
-4.0,unlucky,0.4575391636881444
-20.0,unlucky,0.6616358516700255
-160.0,unlucky,0.6501588807062013
-4.0,unlucky,0.6625901990488554
